fkey,frequency,account_date,date,amount,duration,payments,status
0,POPLATEK MESICNE,930226,940105,80952,24,3373.0,A
1,POPLATEK MESICNE,950407,960429,30276,12,2523.0,B
2,POPLATEK MESICNE,960728,971208,30276,12,2523.0,A
3,POPLATEK MESICNE,970818,981014,318480,60,5308.0,D
4,POPLATEK TYDNE,970808,980419,110736,48,2307.0,C
5,POPLATEK MESICNE,941019,960502,165960,24,6915.0,A
6,POPLATEK MESICNE,960505,970810,102876,12,8573.0,A
7,POPLATEK MESICNE,960310,971206,265320,36,7370.0,D
8,POPLATEK MESICNE,970710,981205,352704,48,7348.0,C
9,POPLATEK MESICNE,960717,970908,162576,36,4516.0,C
10,POPLATEK PO OBRATU,960511,961106,88440,12,7370.0,A
11,POPLATEK MESICNE,931126,940531,104808,12,8734.0,A
12,POPLATEK TYDNE,960812,970410,27456,12,2288.0,A
13,POPLATEK MESICNE,970223,980712,109344,12,9112.0,C
14,POPLATEK MESICNE,971208,981202,160920,36,4470.0,C
15,POPLATEK MESICNE,931202,941103,123696,48,2577.0,A
16,POPLATEK MESICNE,960725,980530,112752,36,3132.0,C
17,POPLATEK MESICNE,970425,981125,91248,48,1901.0,C
18,POPLATEK PO OBRATU,960126,970503,66840,24,2785.0,C
19,POPLATEK TYDNE,951017,970711,369000,60,6150.0,C
20,POPLATEK MESICNE,961124,980712,331584,48,6908.0,C
21,POPLATEK TYDNE,960911,971225,468060,60,7801.0,C
22,POPLATEK MESICNE,931201,941221,100980,60,1683.0,C
23,POPLATEK MESICNE,931213,950501,187224,24,7801.0,B
24,POPLATEK MESICNE,970608,980909,42816,12,3568.0,C
25,POPLATEK MESICNE,960722,971011,230400,60,3840.0,C
26,POPLATEK MESICNE,931129,940719,252060,60,4201.0,D
27,POPLATEK MESICNE,961222,980313,84288,48,1756.0,C
28,POPLATEK MESICNE,970330,970710,357840,48,7455.0,D
29,POPLATEK MESICNE,961011,970428,196800,24,8200.0,D
30,POPLATEK MESICNE,951021,961024,262980,60,4383.0,C
31,POPLATEK MESICNE,960320,970716,210384,48,4383.0,C
32,POPLATEK MESICNE,950515,960822,91152,24,3798.0,A
33,POPLATEK MESICNE,960315,971128,12540,12,1045.0,A
34,POPLATEK MESICNE,950803,970401,102240,60,1704.0,C
35,POPLATEK MESICNE,960303,970820,76944,12,6412.0,A
36,POPLATEK TYDNE,970809,980212,156096,36,4336.0,C
37,POPLATEK MESICNE,950206,951123,73056,48,1522.0,C
38,POPLATEK MESICNE,930511,940724,208128,48,4336.0,B
39,POPLATEK MESICNE,950613,960411,215616,48,4492.0,D
40,POPLATEK MESICNE,930210,940511,24312,12,2026.0,A
41,POPLATEK MESICNE,930805,950108,48624,24,2026.0,A
42,POPLATEK MESICNE,940318,950217,538500,60,8975.0,C
43,POPLATEK MESICNE,960306,970202,53076,12,4423.0,A
44,POPLATEK MESICNE,960309,960728,187104,24,7796.0,A
45,POPLATEK MESICNE,930921,950530,87216,48,1817.0,C
46,POPLATEK MESICNE,970426,980224,178500,60,2975.0,C
47,POPLATEK MESICNE,950118,950916,309552,48,6449.0,C
48,POPLATEK MESICNE,971213,980521,22260,60,371.0,C
49,POPLATEK MESICNE,941115,960529,284280,60,4738.0,C
50,POPLATEK PO OBRATU,941102,950524,189060,60,3151.0,C
51,POPLATEK MESICNE,961114,980701,108720,60,1812.0,C
52,POPLATEK MESICNE,960702,980411,188532,36,5237.0,C
53,POPLATEK MESICNE,941217,951218,204000,60,3400.0,C
54,POPLATEK MESICNE,940709,941028,98184,24,4091.0,A
55,POPLATEK MESICNE,970215,980924,253200,60,4220.0,C
56,POPLATEK TYDNE,930510,940120,253200,60,4220.0,C
57,POPLATEK MESICNE,961206,980416,50976,36,1416.0,C
58,POPLATEK MESICNE,960114,970613,385104,48,8023.0,C
59,POPLATEK TYDNE,930829,941112,192552,24,8023.0,B
60,POPLATEK MESICNE,930421,940207,149040,48,3105.0,A
61,POPLATEK PO OBRATU,961124,970907,128544,24,5356.0,C
62,POPLATEK MESICNE,960508,970228,35904,48,748.0,C
63,POPLATEK MESICNE,930608,950316,99696,48,2077.0,D
64,POPLATEK MESICNE,960328,961125,182640,48,3805.0,C
65,POPLATEK TYDNE,950726,970401,148140,36,4115.0,C
66,POPLATEK MESICNE,940421,950529,71064,36,1974.0,A
67,POPLATEK PO OBRATU,960607,970701,74772,36,2077.0,C
68,POPLATEK MESICNE,970702,981205,52512,12,4376.0,C
69,POPLATEK MESICNE,971222,981011,185544,36,5154.0,C
70,POPLATEK MESICNE,960916,970906,23520,12,1960.0,A
71,POPLATEK MESICNE,960926,970915,389136,48,8107.0,C
72,POPLATEK MESICNE,940427,950829,45336,24,1889.0,A
73,POPLATEK MESICNE,970805,980902,125472,24,5228.0,C
74,POPLATEK PO OBRATU,970411,980117,125472,24,5228.0,C
75,POPLATEK MESICNE,970220,970603,100080,48,2085.0,C
76,POPLATEK TYDNE,960703,980119,123300,36,3425.0,C
77,POPLATEK TYDNE,970207,981007,165780,60,2763.0,C
78,POPLATEK PO OBRATU,931117,941119,164052,36,4557.0,B
79,POPLATEK MESICNE,960608,970721,191088,48,3981.0,C
80,POPLATEK MESICNE,960108,971127,194256,24,8094.0,C
81,POPLATEK PO OBRATU,941117,960824,388512,48,8094.0,D
82,POPLATEK MESICNE,930509,940206,78936,12,6578.0,A
83,POPLATEK TYDNE,961112,980126,64224,24,2676.0,C
84,POPLATEK MESICNE,970201,981029,189792,48,3954.0,C
85,POPLATEK MESICNE,960314,960706,141948,36,3943.0,C
86,POPLATEK MESICNE,970923,980820,172272,24,7178.0,C
87,POPLATEK MESICNE,931211,950428,248148,36,6893.0,A
88,POPLATEK MESICNE,940903,960615,30060,60,501.0,C
89,POPLATEK TYDNE,950220,960313,202788,36,5633.0,C
90,POPLATEK MESICNE,970727,980527,43200,24,1800.0,C
91,POPLATEK TYDNE,930322,930705,96396,12,8033.0,B
92,POPLATEK MESICNE,930213,930711,165960,36,4610.0,A
93,POPLATEK MESICNE,970516,980930,385584,48,8033.0,C
94,POPLATEK MESICNE,930922,940623,239460,60,3991.0,C
95,POPLATEK TYDNE,961021,980111,143676,36,3991.0,C
96,POPLATEK MESICNE,930130,930803,105804,36,2939.0,A
97,POPLATEK TYDNE,950415,961016,396120,60,6602.0,C
98,POPLATEK MESICNE,960614,980129,37944,36,1054.0,C
99,POPLATEK MESICNE,970920,980910,209040,24,8710.0,C
100,POPLATEK MESICNE,960305,960731,162468,36,4513.0,C
101,POPLATEK MESICNE,961021,970830,57360,12,4780.0,B
102,POPLATEK MESICNE,960801,971008,44952,24,1873.0,C
103,POPLATEK MESICNE,970302,981206,55632,24,2318.0,C
104,POPLATEK TYDNE,950213,960421,249312,48,5194.0,C
105,POPLATEK TYDNE,930611,941204,205200,36,5700.0,A
106,POPLATEK MESICNE,941030,950415,68400,12,5700.0,B
